category,titles,date,descriptions,urls
national,Cyclone Remal approaches North Bay with a speed of 13 kmph,"Sunday, 26 May, 2024","In Kolkata, West Bengal, the Indian Meteorological Department (IMD) scientist Somenath Dutta has provided an update on cyclone Remal, indicating its trajectory and potential impact on the region. According to Dutta, over the past six hours, cyclone Remal has been moving northward in the North Bay at a speed of 13 km/hr.",https://thedailyguardian.com/cyclone-remal-updates-approaches-north-bay-in-the-next-6-hours-imd-issues-alert/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,6 Hizb-ut-Tahrir activists arrested for anti-poll campaign in TN,"Sunday, 26 May, 2024","Six members of Hizb-ut-Tahrir (HuT), an international Islamist outfit have been arrested for anti-national activities such as propaganda against holding elections and democracy, police said on Saturday, May 26. They were arrested by Chennai police in an operation closely coordinated by intelligence agencies following their propaganda against conduct of elections and democracy.",https://thesouthfirst.com/news/tamil-nadu-police-arrests-six-hizb-ut-tahrir-activists-for-campaign-against-elections-democracy/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Shameless: Srinivas as BJP MLA smiles while talking on Rajkot fire,"Sunday, 26 May, 2024","During his interaction with media, BJP MLA Ramesh Tilala was seen smiling while talking about the massive fire incident in Gujarat's Rajkot which killed over 30 people. A reporter had asked, ""There was no fire facility?"" To this, Tilala replied that it'll be known after investigation and smiled. ""Instead of crying...people are 'laughing shamelessly'‼️"" Congress leader BV Srinivas said.",https://www.timesnownews.com/india/congress-hits-out-at-bjp-mla-ramesh-tilala-for-smiling-while-talking-about-rajkot-fire-incident-article-110437752/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,5 of family killed after truck collides with their car in K'taka,"Sunday, 26 May, 2024","Six people, including five members of a family, died after a speeding truck rammed into their vehicle in Karnataka's Hassan. The incident occurred around 7 am on Sunday on National Highway 75 when the family, along with a driver, were reportedly returning from Mangaluru. Police have registered a case and further investigation has been initiated.",https://www.timesnownews.com/india/6-of-family-on-joy-ride-killed-as-speeding-truck-hits-them-on-karnataka-highway-article-110433036/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Goa CM Pramod Sawant vows justice after accident in Verna IDC,"Sunday, 26 May, 2024","Goa CM Pramod Sawant expressed sorrow over the tragic accident near Commoscope company in Verna IDC, which caused deaths and injuries. He announced the prosecution of the bus driver, who was under the influence of alcohol, and blacklisting of the involved contractors. Sawant assured strict action, stating that no one responsible would be spared.",https://www.refersms.com/cm-pramod-sawant-vows-justice-after-tragic-accident-in-verna-idc-2024-5-26/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,FSSAI warns against commercial sale of human milk,"Sunday, 26 May, 2024","India’s food safety regulator FSSAI has strictly warned against the sale of human milk and its derivatives, emphasizing that the country prohibits commercialization of mother’s milk. The Ayush ministry found that giving approval to companies for production of human milk products led to ethical issues as well as women and human rights violations.",https://thesouthfirst.com/health/fssai-issues-strict-warning-against-commercial-sale-of-human-breast-milk-in-india/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,PM Modi praises Payal Kapadia’s historic grand prix win,"Sunday, 26 May, 2024","PM Modi praises Payal Kapadia for her historic Grand Prix win at the 77th Cannes Film Festival for ""All We Imagine as Light."" An FTII alumnus, Kapadia's global recognition highlights India's rich creativity. Modi noted this accolade honors her exceptional talent and inspires new Indian filmmakers, showcasing the artistic potential of India's creative community.",https://www.refersms.com/pm-modi-praises-payal-kapadias-historic-grand-prix-win-at-cannes-film-festival-2024-5-26/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Mother of Porsche crash accused 'emotionally' requested family driver to take the blame,"Sunday, 26 May, 2024","Mother of the 17-year-old Porsche crash accused had ""emotionally requested"" their family driver to take responsibility for the incident, Pune's Commissioner of Police Amitesh Kumar said. Earlier it was reported that the boy's father and grandfather had pressured the driver, Gangadhar, to take the blame. The boy's family members ""gave...different enticements"" to Gangadhar, police said.",https://www.hindustantimes.com/india-news/pune-porche-accident-teens-mother-requested-driver-to-take-blame-for-crash-101716697419249-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,UDF seeks ministers’ resignation in Kerala amid liquor policy row,"Sunday, 26 May, 2024","Kerala’s opposition UDF on Saturday, May 26, stepped up its attack against the Left government over its liquor policy and demanded the resignation of Excise and Tourism ministers over alleged corruption in this regard. While UDF accuses LDF of taking bribes to 'favour' bar owners, the latter claims it has not yet held any deliberations over its liquor policy.",https://thesouthfirst.com/kerala/liquor-policy-row-in-kerala-udf-demands-resignation-of-excise-tourism-ministers-over-alleged-corruption/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,FIR filed against 6 Rajkot game zone partners; 2 arrested,"Sunday, 26 May, 2024","Police in Rajkot, Gujarat, have filed a case against six partners of a game zone after a fire killed 27 people. Two people have been arrested. The game zone did not have proper fire safety measures or an NOC. A special team is investigating. The Gujarat CM announced compensation for the victims' families.",https://www.thehawk.in/posts/fir-against-6-partners-of-rajkot-game-zone-2-held-facility-didn't-have-fire-noc-say-police?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
