category,titles,date,descriptions,urls
business,IMD retains 'above normal' forecast for southwest monsoon,"Monday, 27 May, 2024","The country is likely to see 'above normal' rainfall during monsoon season between June and September 2024, the IMD said, reaffirming its previous forecast. The southwest monsoon seasonal rainfall over the country as a whole is likely to be 106% of the long-period average with a model error of +- 4%, the IMD stated in a press release on Monday.",https://www.ndtvprofit.com/business/imd-retains-above-normal-forecast-for-south-west-monsoon?src=p1&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,ITC's Hotel Group expands in Rajasthan with 'Mementos Jaipur',"Monday, 27 May, 2024","ITC's Hotel Group announced the opening of Mementos by ITC Hotels, Jaipur, its second Mementos property in India, after Mementos Udaipur. Anil Chadha, Chief Executive, ITC Hotels said, We are on an impressive growth trajectory and are delighted to offer a variety of hospitality solutions in Rajasthan, one of India's most vibrant and popular tourist attractions.",https://investmentguruindia.com/newsdetail/itc-s-hotel-group-expands-in-rajasthan-with-mementos-jaipur-344240?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"SpiceJet rejects KAL Airways, Maran's ₹1,323-cr claims in damages","Tuesday, 28 May, 2024","SpiceJet on Tuesday rejected claims made by KAL Airways and Kalanithi Maran, seeking ₹1,323 crore in damages from the airline and its chief Ajay Singh. ""These assertions are legally untenable,"" SpiceJet said. This comes after Delhi High Court overturned an order that had directed SpiceJet to refund over ₹270 crore to Maran.",
business,"Many made fun of UPI, they had no idea of our tech's strength: PM","Tuesday, 28 May, 2024","Prime Minister Narendra Modi said UPI has played a big role in fintech. ""It is unfortunate that when I was discussing UPI, many great scholars who were sitting in the Parliament made fun of it...They had no idea of India's potential and its technology's strength,"" he said. ""UPI is passing every test...India is leading in fintech today,"" he added.",https://www.youtube.com/watch?t=33s&utm_campaign=fullarticle&v=y9RYjyUKXxY&utm_medium=referral&utm_source=inshorts
business,One way to bring down inflation is to kill the economy: Rajan,"Tuesday, 28 May, 2024","Former RBI Governor Raghuram Rajan said one of the ways to bring down inflation is to ""kill the economy"" by exorbitantly raising interest rates. ""The problem with that is our poorest people don't have buffers. So if you reduce...economic activity, you're essentially condemning them to absolute misery,"" Rajan said. ""So...you can slow the economy but can't kill it,"" he added.",https://youtu.be/K_w5eT9JpBU?t=292&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,Promoter to offload 5% stake in Inox Wind,"Tuesday, 28 May, 2024","Inox Wind shares began Tuesday’s session lower at ₹155, down from ₹164.15. The shares hit a lower circuit at ₹147.75 apiece as approximately 2.75 crore shares, or 5% of the company's equity, traded in a block deal. The transaction, valued at over ₹400 crore, likely involved promoter entity IWEL selling its stake.",https://tradebrains.in/features/green-energy-stock-hits-10-lower-circuit-after-promoter-to-offload-5-stake-in-the-company/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Promoter offloaded 6.6% stake in Timken India,"Tuesday, 28 May, 2024","Timken India Ltd shares, a major supplier of axle bearings for heavy commercial vehicles, rose 7.5% to ₹4,250.45 after 5 million shares (6.6% of total equity) changed hands in block deals. Timken Singapore, the promoter, aimed to sell this stake at ₹3,550 per share, for a value of ₹1,775 crore as per reports.",https://tradebrains.in/features/mid-cap-stock-jumps-7-after-companys-promoter-offloaded-6-6-stake-in-the-company/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Fineotex Chemical Board to meet and discuss raising funds via QIP,"Tuesday, 28 May, 2024","Fineotex Chemical Board of Directors meeting will be held on June 01. It will consider the proposal for raising funds by the issue of one or more instruments comprising of equity shares, convertible securities of any other description or warrants or debt securities, through private placement/preferential issue/qualified institutions placement (QIP) or such other methods or combinations thereof.",https://www.dsij.in/dsijarticledetail/articleid/38443/artmid/10163/preview/true?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Rupee weakens marginally against US dollar on Tuesday,"Tuesday, 28 May, 2024","Indian rupee weakened marginally against the US dollar on Tuesday with caution ahead of key inflation readings from the US and other major economies this week for more signals about interest rate policy. Moreover, a recovery in crude oil prices and foreign fund outflows have also weighed on rupee sentiments.",https://investmentguruindia.com/newsdetail/rupee-weakens-marginally-against-us-dollar-on-tuesday994157?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Va Tech Wabag receives an order worth ₹85 crore from Oman,"Tuesday, 28 May, 2024","Va Tech Wabag Ltd shares rose about 3%, reaching a high of ₹1,005, following the announcement of an order worth approximately ₹85 crores from Nama Water Services in Oman. The contract involves the operation and maintenance of the Al Duqm Desalination Plant for five years. Va Tech Wabag is engaged in the business of water treatment field.",https://tradebrains.in/features/small-cap-stock-jumps-3-after-company-received-an-order-worth-85-cr-from-oman/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Gold prices steady as focus turns to US inflation data,"Tuesday, 28 May, 2024","Gold prices held steady on Tuesday as the dollar eased, while investors looked forward to key US inflation data that could offer clues on how soon the Federal Reserve can cut interest rates. Spot gold held its ground at $2,349.89 per ounce, as of 06.00 GMT, after rising about 1% in the previous session.",https://investmentguruindia.com/newsdetail/gold-prices-steady-as-focus-turns-to-us-inflation-data113527?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,National Aluminium Company net profit increased by 108 % QoQ,"Tuesday, 28 May, 2024","National Aluminium Company Ltd's shares rose 6% after a strong Q4FY24 performance. Net profit surged 95% YoY and 108% QoQ to ₹1,016 crore. Revenue increased 7% QoQ to ₹3,579 crore but decreased 2% YoY. These results highlight substantial profit growth despite a slight revenue dip year on year.",https://tradebrains.in/features/psu-stock-jumps-6-after-companys-net-profit-increased-by-108-qoq/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Adani to enter UPI, online shopping businesses: Report","Tuesday, 28 May, 2024","Gautam Adani-led Adani Group is in talks to expand into e-commerce and digital payments business to rival Google and Mukesh Ambani's Reliance Industries, FT reported. Adani plans to apply for a licence to operate on UPI and is in talks with banks to finalise the Adani credit card. It's also in negotiations to offer online shopping through ONDC.",https://www.hindustantimes.com/business/adani-group-to-enter-upi-digital-payment-credit-card-business-report-101716873123298-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,Had received threats to lower interest rates: Ex-RBI Guv Rajan,"Tuesday, 28 May, 2024","Economist Raghuram Rajan said during his tenure as RBI Governor, he received threats from business people to bring interest rates down. 
""We were initially raising interest rates to bring inflation down,"" he said. ""I got a bunch of threats from business people saying 'You better reduce the interest rates or we will get you out of your job',"" he added.",https://www.youtube.com/watch?t=168s&utm_campaign=fullarticle&v=K_w5eT9JpBU&utm_medium=referral&utm_source=inshorts
business,Infosys gives up to 85% performance bonus to workers in Q4: Report,"Tuesday, 28 May, 2024","IT company Infosys has issued quarterly performance bonus ranging from 55% to 85% to its employees at level 6 (PL6-manager) and below in the January-March quarter, Economic Times reported. This however excluded employees at the entry level. Employees said the average payout dropped to 60% from the 73% seen in October-December, the report added.",https://www.etnownews.com/companies/infosys-q4-fy24-performance-bonus-update-payout-dips-details-article-110436880/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,Natco Pharma net profit increased by 82% YoY,"Tuesday, 28 May, 2024","Natco Pharma Limited engaged in developing, manufacturing, and marketing complex pharmaceutical products for niche therapeutic areas jumped 5% in the day’s trade upon posting its Q4FY24 results with an 82% jump in net profit from ₹212.7 crore to ₹386.3 crore and its revenue from operations grew by 41% from ₹758.6 crore to ₹1,068.3 crore.",https://tradebrains.in/features/pharma-stock-jumps-5-after-companys-net-profit-increased-by-94-yoy/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
